sent_id,DOsentence,PDsentence,realized_construction,ngram_ratio,lstm_ratio,gpt2_ratio,gpt2-large_ratio,bert_ratio,lstm-large_ratio
0,Mary gave it some variety,Mary gave some variety to it,DO,4.076885223388672,7.648254632949829,2.6781630516052246,0.5836191773414612,6.322706840932369,9.411166191101074
1,Maria paid you attention,Maria paid attention to you,PD,-0.42664146423339844,-3.722801834344864,-0.9446818977594376,-1.4549438655376434,-11.253285877406597,-7.821537494659424
2,Bob gave select companies it,Bob gave it to select companies,PD,-2.998981475830078,-5.364160180091858,-1.1080751419067383,-0.3326704502105713,-13.181462748209015,-3.7877862453460693
3,Bob gave every teacher a hundred percent raise,Bob gave a hundred percent raise to every teacher,DO,2.0095596313476562,6.528058052062988,1.7361977100372314,0.5381185412406921,2.1097171902656555,15.106044054031372
4,Juan gave the people all that money,Juan gave all that money to the people,PD,0.3651885986328125,-2.893731713294983,-2.2560424208641052,-3.315577268600464,-1.5682537658140063,1.9720557928085327
5,It didn't do us any good,It didn't do any good to us,DO,-0.1672210693359375,-0.7455298900604248,6.320216238498688,5.89092193543911,-0.46602597316018546,6.114885449409485
6,Mary gave me it,Mary gave it to me,PD,1.2497787475585938,-1.8347790241241455,-1.7576775550842285,-2.0560593605041504,-7.656677890743595,-5.715759038925171
7,Linda gave me one,Linda gave one to me,DO,2.919179916381836,3.5856493711471558,3.632328152656555,1.8391202688217163,-1.1813290193676949,4.197417736053467
8,Bob sent her messages,Bob sent messages to her,DO,1.3390254974365234,-0.41503602266311646,2.4303701519966125,0.3586946129798889,-3.239683225750923,-1.9626726508140564
9,Bob took her the actual paperwork,Bob took the actual paperwork to her,DO,3.737760543823242,-1.7553001642227173,-0.4492671489715576,-0.4611161947250366,-5.940982595086098,-1.6706066131591797
10,We paid them their royalties,We paid their royalties to them,DO,3.695394515991211,2.549452304840088,2.919290065765381,-0.5962892770767212,1.4020123481750488,7.158944725990295
11,Michael gave the original artist or the original composer the credit that is really due to them,Michael gave the credit that is really due to them to the original artist or the original composer,DO,-3.8480300903320312,1.64992006868124,3.337355136871338,9.518299221992493,4.1086379390908405,4.395261645317078
12,Linda gave us a good idea,Linda gave a good idea to us,DO,1.566314697265625,0.0587846040725708,9.566333413124084,7.5161415338516235,7.8001129403710365,6.805575966835022
13,Alice gave you books,Alice gave books to you,DO,3.9421825408935547,5.279513120651245,2.921906054019928,5.510151982307434,7.303012523800135,2.9820005893707275
14,Alice gave me hers,Alice gave hers to me,DO,4.431512832641602,5.526617050170898,4.591494202613831,1.958863079547882,-4.180251104175113,5.400450229644775
15,Alice gave me a break,Alice gave a break to me,DO,2.9892024993896484,5.275359153747559,4.8244389295578,6.293521761894226,6.612349703907967,8.027550220489502
16,It cost the taxpayers a fortune,It cost a fortune to the taxpayers,DO,0.23933029174804688,-2.2942463159561157,7.220276176929474,6.117498993873596,-2.1426742458716035,10.411831140518188
17,John gave me some examples,John gave some examples to me,DO,3.049468994140625,1.6799168586730957,5.633383870124817,5.331363201141357,3.219444066286087,3.147426128387451
18,Maria gave it a thumbs down,Maria gave a thumbs down to it,DO,2.1054649353027344,-1.1230343580245972,4.072705030441284,1.9045042991638184,2.465517684817314,14.418346107006073
19,We taught our kids as much as we could,We taught as much as we could to our kids,DO,-0.3233375549316406,1.657511755824089,3.066880151629448,2.7461337745189667,2.6175913303231937,-0.8270625472068787
20,Michael offered him a commission as a captain,Michael offered a commission as a captain to him,DO,4.915065765380859,10.893624663352966,8.294004082679749,8.92478621006012,7.481922226026654,11.145830929279327
21,We gave them a free election,We gave a free election to them,DO,5.493741989135742,6.342311859130859,5.079861044883728,6.5833024978637695,-2.030013931915164,-0.0337294340133667
22,John offered you a thousand dollars,John offered a thousand dollars to you,DO,-1.045370101928711,-4.559610486030579,1.1587707996368408,5.559636473655701,0.3159148693084717,-0.5738720893859863
23,Juan gave you full exercise,Juan gave full exercise to you,DO,3.0098037719726562,3.4307467341423035,4.0891852378845215,0.41554778814315796,2.1000853925943375,4.911837100982666
24,It cost me about eight dollars,It cost about eight dollars to me,DO,1.5164260864257812,-4.551109790802002,8.443408012390137,8.721922785043716,5.28426867723465,12.088935494422913
25,Mary gave him them,Mary gave them to him,PD,2.356809616088867,2.707017421722412,-3.03849458694458,-2.0297374725341797,-5.108686827821657,0.6591752767562866
26,Bob gave him them,Bob gave them to him,PD,2.178159713745117,2.5955803394317627,-3.8022048473358154,-2.4254260063171387,-5.770483355037868,-3.985324740409851
27,John gave all the ladies a hard time,John gave a hard time to all the ladies,DO,-1.7371292114257812,-2.5808421969413757,4.784651190042496,2.4118585512042046,22.031243943725713,3.621085437014699
28,Mary gave it a little more business type atmosphere,Mary gave a little more business type atmosphere to it,DO,6.710124969482422,11.746541023254395,6.473052382469177,3.07011079788208,0.7505495264194906,11.847514510154724
29,Linda flipped me the finger,Linda flipped the finger to me,DO,2.5785865783691406,-1.5301251411437988,4.923120141029358,4.578432559967041,14.733003854751587,5.8592416644096375
30,Michael gave her it,Michael gave it to her,PD,1.6894855499267578,-1.045959234237671,-1.6577142477035522,-2.2063217163085938,-7.220815228210995,-2.551707297563553
31,Juan gave the girl a hug,Juan gave a hug to the girl,DO,3.893909454345703,2.1934577226638794,3.951000392436981,4.317802548408508,-0.5626634545624256,-2.939614236354828
32,It gave your stomach a chance to relax,It gave a chance to relax to your stomach,DO,-2.4479331970214844,5.16292542219162,10.294604152441025,12.082820413634181,12.168495777994394,14.546830356121063
33,Maria gave you all the nutrients and vitamins,Maria gave all the nutrients and vitamins to you,DO,6.547819137573242,3.2656755447387695,3.7840051651000977,3.193579077720642,-0.9380390178412199,7.865322589874268
34,John gave him like a scholarship,John gave like a scholarship to him,DO,5.337574005126953,6.112560987472534,4.719356715679169,2.443873345851898,8.801291829906404,1.7279762029647827
35,Mary gave you a little spending money,Mary gave a little spending money to you,DO,1.6108360290527344,-1.5444413423538208,4.4891037940979,3.8333667516708374,2.887076072394848,1.1759027242660522
36,Mary gave me one day,Mary gave one day to me,DO,2.858673095703125,1.8618067502975464,5.35491669178009,3.502732992172241,-2.7304473370313644,2.5267696380615234
37,Michael showed them the numbers,Michael showed the numbers to them,DO,3.0441856384277344,5.421239495277405,4.878032803535461,3.1610379219055176,5.375631183385849,4.069046348333359
38,Linda gave it a great deal of thought,Linda gave a great deal of thought to it,DO,4.953639984130859,6.1769518330693245,2.911026433110237,2.826890729367733,4.040801133553032,9.23511527478695
40,Juan sent me a credit card,Juan sent a credit card to me,DO,-0.43276214599609375,-8.312888979911804,3.1248873695731163,4.031006008386612,-0.24267423897981644,8.999920785427094
