sent_id,DOsentence,PDsentence,realized_construction,ngram_ratio,lstm_ratio,gpt2_ratio,gpt2-large_ratio,bert_ratio,prediction_gpt2-large
0,Mary gave it some variety,Mary gave some variety to it,DO,4.076885223388672,7.648254632949829,2.6781630516052246,0.5836191773414612,6.322706840932369,DO
1,Maria paid you attention,Maria paid attention to you,PD,-0.42664146423339844,-3.722801834344864,-0.9446818977594376,-1.4549438655376434,-11.253285877406597,PD
2,Bob gave select companies it,Bob gave it to select companies,PD,-2.998981475830078,-5.364160180091858,-1.1080751419067383,-0.3326704502105713,-13.181462748209015,DO
3,Bob gave every teacher a hundred percent raise,Bob gave a hundred percent raise to every teacher,DO,2.0095596313476562,6.528058052062988,1.7361977100372314,0.5381185412406921,2.1097171902656555,DO
4,Juan gave the people all that money,Juan gave all that money to the people,PD,0.3651885986328125,-2.893731713294983,-2.2560424208641052,-3.315577268600464,-1.5682537658140063,PD
5,It didn't do us any good,It didn't do any good to us,DO,-0.1672210693359375,-0.7455298900604248,6.320216238498688,5.89092193543911,-0.46602597316018546,DO
6,Mary gave me it,Mary gave it to me,PD,1.2497787475585938,-1.8347790241241455,-1.7576775550842285,-2.0560593605041504,-7.656677890743595,PD
7,Linda gave me one,Linda gave one to me,DO,2.919179916381836,3.5856493711471558,3.632328152656555,1.8391202688217163,-1.1813290193676949,DO
8,Bob sent her messages,Bob sent messages to her,DO,1.3390254974365234,-0.41503602266311646,2.4303701519966125,0.3586946129798889,-3.239683225750923,DO
9,Bob took her the actual paperwork,Bob took the actual paperwork to her,DO,3.737760543823242,-1.7553001642227173,-0.4492671489715576,-0.4611161947250366,-5.940982595086098,PD
10,We paid them their royalties,We paid their royalties to them,DO,3.695394515991211,2.549452304840088,2.919290065765381,-0.5962892770767212,1.4020123481750488,PD
12,Linda gave us a good idea,Linda gave a good idea to us,DO,1.566314697265625,0.0587846040725708,9.566333413124084,7.5161415338516235,7.8001129403710365,DO
13,Alice gave you books,Alice gave books to you,DO,3.9421825408935547,5.279513120651245,2.921906054019928,5.510151982307434,7.303012523800135,DO
14,Alice gave me hers,Alice gave hers to me,DO,4.431512832641602,5.526617050170898,4.591494202613831,1.958863079547882,-4.180251104175113,DO
15,Alice gave me a break,Alice gave a break to me,DO,2.9892024993896484,5.275359153747559,4.8244389295578,6.293521761894226,6.612349703907967,DO
16,It cost the taxpayers a fortune,It cost a fortune to the taxpayers,DO,0.23933029174804688,-2.2942463159561157,7.220276176929474,6.117498993873596,-2.1426742458716035,DO
17,John gave me some examples,John gave some examples to me,DO,3.049468994140625,1.6799168586730957,5.633383870124817,5.331363201141357,3.219444066286087,DO
18,Maria gave it a thumbs down,Maria gave a thumbs down to it,DO,2.1054649353027344,-1.1230343580245972,4.072705030441284,1.9045042991638184,2.465517684817314,DO
