takes_female,plural,classification,verb_id,frequency_rank,DOsentence,PDsentence,theme_type,theme_id,recipient_id,i,trial_set,DO_prob,PD_prob,ratio,BehavDOpreference,ngram_ratio,LSTM_ratio,GPT2_ratio
FALSE,FALSE,alternating,101,1,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,def,1,longDefinite,1,50,-44.67049690143904,-35.28772839263547,-9.382768508803565,8.25,1.1121711730957031,-4.414507031440735,-6.716150164604187
FALSE,FALSE,alternating,101,1,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,def,1,longIndefinite,2,1,-52.99289753497578,-37.31229681393597,-15.68060072103981,15.4,0.706298828125,-4.749364376068115,-3.4579330682754517
FALSE,FALSE,alternating,101,1,Linda took him the meal,Linda took the meal to him,def,1,pronoun,3,51,-37.005159509484656,-31.03663800051436,-5.968521508970298,25.0,2.4019107818603516,-3.056236505508423,-0.7298083305358887
FALSE,FALSE,alternating,101,1,Linda took the man the meal,Linda took the meal to the man,def,1,shortDefinite,4,2,-34.00363058352377,-34.456685639801435,0.4530550562776625,16.0,2.36859130859375,-5.188248515129089,-3.339855909347534
FALSE,FALSE,alternating,101,1,Mary took a man the meal,Mary took the meal to a man,def,1,shortIndefinite,5,53,-45.457556386012584,-36.265112661523744,-9.19244372448884,10.846153846153847,0.9070587158203125,-6.010735273361206,-5.067248225212097
FALSE,FALSE,alternating,101,1,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,def,2,longDefinite,6,3,-52.373532674741,-41.21161138871685,-11.161921286024153,5.285714285714286,0.5793800354003906,-3.8471434116363525,-5.259127080440521
FALSE,FALSE,alternating,101,1,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,def,2,longIndefinite,7,54,-49.239718156750314,-27.506122310296632,-21.73359584645368,3.75,-0.6209793090820312,-8.316210985183716,-5.906424701213837
FALSE,FALSE,alternating,101,1,Alice took him the blanket,Alice took the blanket to him,def,2,pronoun,8,4,-31.736850618151948,-28.402137076016515,-3.3347135421354324,18.53846153846154,2.5657958984375,-4.884886980056763,-0.59810471534729
FALSE,FALSE,alternating,101,1,Michael took the woman the blanket,Michael took the blanket to the woman,def,2,shortDefinite,9,55,-26.139823964913376,-32.67571133800084,6.535887373087462,27.076923076923077,1.4873008728027344,-6.5149245262146,-0.625573992729187
FALSE,FALSE,alternating,101,1,Alice took a woman the blanket,Alice took the blanket to a woman,def,2,shortIndefinite,10,6,-49.083063847152516,-39.06057462631725,-10.022489220835268,25.0,1.6697063446044922,-3.9628026485443115,-3.8990025520324707
